account_id,account_name,website_domain,industry,employee_count,segment,billing_country,region,annual_revenue_eur,created_date
001A000000,Ivenline LLC,ivenline.io,,11,Commercial,United States,North America,2633000.00,2022-07-24
001A000001,Lumoware Digital S.p.A.,lumoware.io,Manufacturing,1051,Mid-Market,Italy,EMEA - South,175399000.00,2023-08-05
001A000002,Miraworks Systems Inc.,miraworks.io,Software & SaaS,480,Mid-Market,Canada,North America,214477000.00,2022-11-10
001A000003,Brionet Inc.,brionet.de,Manufacturing,173,Commercial,United States,North America,22676000.00,2022-11-12
001A000004,Xenosys SE,xenosys.com,Manufacturing,131,Commercial,Germany,EMEA - DACH,21896000.00,2023-10-24
001A000005,Junonet Holding Pte Ltd,junonet.io,Software & SaaS,848,Mid-Market,Singapore,APAC,126013000.00,2023-07-18
001A000006,Evopath LLC,evopath.eu,Media & Marketing,652,Mid-Market,United States,North America,160564000.00,2022-09-01
001A000007,Astercore Corp.,astercore.co,Consulting,601,Mid-Market,United States,North America,53681000.00,2021-12-07
001A000008,Runestack SE,runestack.eu,Healthcare & Life Sciences,204,Commercial,Germany,EMEA - DACH,17912000.00,2023-05-02
001A000009,Ivenmark S.r.l.,ivenmark.de,Public Sector,60,Commercial,Italy,EMEA - South,6847000.00,2021-12-07
001A000010,Lyralogic Systems B.V.,lyralogic.com,Finance,329,Mid-Market,Netherlands,EMEA - North,74764000.00,2023-07-12
001A000011,Oriobridge Group Pvt Ltd,oriobridge.net,,354,Mid-Market,India,APAC,105655000.00,2023-12-11
001A000012,Cobalnet Inc.,cobalnet.co,Software & SaaS,76,Commercial,United States,North America,11500000.00,2023-01-15
001A000013,Junolabs LLC,junolabs.net,Healthcare & Life Sciences,60,Commercial,United States,North America,13690000.00,2023-12-31
001A000014,Sellalogic Solutions S.p.A.,sellalogic.net,software,578,Mid-Market,Italy,EMEA - South,125433000.00,2023-11-30
001A000015,Miraworks Partners plc,miraworks.com,,1314,Mid-Market,United Kingdom,EMEA - UK&I,203108000.00,2023-04-02
001A000016,Piradata Digital Sp. z o.o.,piradata.eu,Finance,33,Commercial,Poland,EMEA - North,5029000.00,2022-07-12
001A000017,Miradata AG,miradata.co,Manufacturing,68,Commercial,Germany,EMEA - DACH,17192000.00,2021-08-18
001A000018,Asterline LLC,asterline.eu,Healthcare & Life Sciences,173,Commercial,United States,North America,87364000.00,2022-06-22
001A000019,Umbravik Corp.,umbravik.eu,Financial Services,214,Commercial,United States,North America,61942000.00,2022-05-05
001A000020,Briodata Inc.,briodata.com,Media & Marketing,46,Commercial,United States,North America,15147000.00,2022-04-16
001A000021,Halonet SA,halonet.com,Professional Services,1846,Mid-Market,France,EMEA - South,1003911000.00,2022-09-17
001A000022,Opalmark Pty Ltd,opalmark.io,Media & Marketing,193,Commercial,Australia,APAC,20313000.00,2023-12-12
001A000023,Bramsys Ltda,bramsys.io,Agency,229,Commercial,Brazil,LATAM,55813000.00,2023-02-28
001A000024,Talagrid LLC,talagrid.co,Manufacturing,1522,Mid-Market,United States,North America,583453000.00,2023-07-27
001A000025,Lumoworks Holding GmbH,lumoworks.net,Manufacturing,52,Commercial,Switzerland,EMEA - DACH,14617000.00,2022-08-15
001A000026,Runesys Holding S.r.l.,runesys.co,Media & Marketing,89,Commercial,Italy,EMEA - South,9940000.00,2022-02-05
001A000027,Yaratech AG,yaratech.de,Ecommerce,16,Commercial,Germany,EMEA - DACH,1587000.00,2022-12-14
001A000028,Nordpoint GmbH,nordpoint.eu,Manufacturing,78,Commercial,Austria,EMEA - DACH,33247000.00,2022-08-02
001A000029,Wendpath Holding Corp.,wendpath.de,Software & SaaS,12,Commercial,United States,North America,2464000.00,2022-06-06
001A000030,Granflow Corp.,granflow.net,Professional Services,319,Mid-Market,United States,North America,61311000.00,2023-12-24
001A000031,Mosaflow Pty Ltd,mosaflow.de,Software & SaaS,193,Commercial,Australia,APAC,31243000.00,2022-02-26
001A000032,Junonet SA,junonet.eu,Energy & Utilities,67,Commercial,France,EMEA - South,26527000.00,2022-03-15
001A000033,Boreanet N.V.,boreanet.com,Software & SaaS,87,Commercial,Netherlands,EMEA - North,24973000.00,2021-08-16
001A000034,Veralabs AB,veralabs.de,E-commerce & Retail,326,Mid-Market,Sweden,EMEA - North,46651000.00,2022-12-23
001A000035,Grangrid AG,grangrid.de,Finance,19,Commercial,Switzerland,EMEA - DACH,5253000.00,2021-08-10
001A000036,Brionet AG,brionet.co,Financial Services,139,Commercial,Germany,EMEA - DACH,24750000.00,2023-05-10
001A000037,Mirabridge AB,mirabridge.eu,Ecommerce,296,Mid-Market,Sweden,EMEA - North,79909000.00,2023-01-01
001A000038,Asterpoint plc,asterpoint.com,Media & Marketing,8,Commercial,United Kingdom,EMEA - UK&I,2888000.00,2022-02-22
001A000039,Korawave Partners LLC,korawave.io,Software & SaaS,290,Mid-Market,United States,North America,97429000.00,2022-10-11
001A000040,Runepoint S.p.A.,runepoint.de,Financial Services,9,Commercial,Italy,EMEA - South,511000.00,2023-02-11
001A000041,Korabridge Inc.,korabridge.co,Software & SaaS,85,Commercial,Canada,North America,18509000.00,2022-07-31
001A000042,Veramark Corp.,veramark.com,E-commerce & Retail,18,Commercial,United States,North America,6991000.00,2022-11-19
001A000043,Lyrabridge SA,lyrabridge.eu,Telecommunications,917,Mid-Market,France,EMEA - South,95320000.00,2023-10-09
001A000044,Mosaflow Group Inc.,mosaflow.eu,Retail,19,Commercial,Canada,North America,10028000.00,2021-11-18
001A000045,Evopath Corp.,evopath.co,Media & Marketing,10,Commercial,United States,North America,2322000.00,2022-02-15
001A000046,Yarastack B.V.,yarastack.eu,Manufacturing,124,Commercial,Netherlands,EMEA - North,35261000.00,2023-08-20
001A000047,Sellalabs Ltd,sellalabs.co,Manufacturing,54,Commercial,Ireland,EMEA - UK&I,15347000.00,2023-06-21
001A000048,Ternbridge Inc.,ternbridge.net,Logistics & Transport,12,Commercial,United States,North America,857000.00,2022-08-10
001A000049,Oriomark GmbH,oriomark.com,Software & SaaS,227,Commercial,Germany,EMEA - DACH,65998000.00,2022-11-22
001A000050,Lyravik plc,lyravik.de,Education,7,Commercial,United Kingdom,EMEA - UK&I,1506000.00,2023-09-30
001A000051,Deltanet AG,deltanet.eu,Manufacturing,22,Commercial,Germany,EMEA - DACH,2690000.00,2023-02-13
001A000052,Ivenline Inc.,ivenline.com,,43,Commercial,United States,North America,18224000.00,2021-08-04
001A000053,Fjelstack LLC,fjelstack.eu,Public Sector,347,Mid-Market,United States,North America,17812000.00,2023-04-22
001A000054,Orioworks LLC,orioworks.com,E-commerce & Retail,743,Mid-Market,United States,North America,82318000.00,2023-03-27
001A000055,Briomark LLC,briomark.co,Energy & Utilities,552,Mid-Market,United States,North America,211245000.00,2021-12-25
001A000056,Vexpoint S.p.A.,vexpoint.net,Telecommunications,80,Commercial,Italy,EMEA - South,23450000.00,2021-10-04
001A000057,Ivenmark Corp.,ivenmark.io,Financial Services,4,Commercial,United States,North America,464000.00,2023-07-16
001A000058,Ternwave SE,ternwave.io,E-commerce & Retail,184,Commercial,Germany,EMEA - DACH,19203000.00,2023-02-05
001A000059,Halofield Group SE,halofield.co,Logistics & Transport,974,Mid-Market,Germany,EMEA - DACH,141415000.00,2021-12-01
001A000060,Kestline Solutions Corp.,kestline.de,Software & SaaS,675,Mid-Market,United States,North America,136615000.00,2021-12-01
001A000061,Evoline Solutions AB,evoline.eu,Media & Marketing,206,Commercial,Sweden,EMEA - North,26821000.00,2023-01-04
001A000062,Xenostack LLC,xenostack.com,SaaS,18,Commercial,United States,North America,2904000.00,2022-02-12
001A000063,Solvfield LLC,solvfield.eu,,46,Commercial,United States,North America,8262000.00,2023-04-01
001A000064,Kestlogic Corp.,kestlogic.eu,Manufacturing,1995,Mid-Market,United States,North America,279355000.00,2023-06-06
001A000065,Briolabs Sp. z o.o.,briolabs.eu,Media & Marketing,13,Commercial,Poland,EMEA - North,1709000.00,2021-09-03
001A000066,Quarpoint Digital Sp. z o.o.,quarpoint.io,Media & Marketing,19,Commercial,Poland,EMEA - North,1620000.00,2022-05-29
001A000067,Straline SA,straline.eu,Agency,431,Mid-Market,France,EMEA - South,73260000.00,2022-01-29
001A000068,Yaradata GmbH,yaradata.de,Financial Services,53,Commercial,Germany,EMEA - DACH,8902000.00,2023-06-05
001A000069,Asterwave S.p.A.,asterwave.de,E-commerce & Retail,18,Commercial,Italy,EMEA - South,1772000.00,2023-12-15
001A000070,Boreaworks Ltd,boreaworks.eu,Financial Services,1064,Mid-Market,United Kingdom,EMEA - UK&I,217629000.00,2023-12-15
001A000071,Ternfield Solutions S.A.,ternfield.net,Banking,205,Commercial,Spain,EMEA - South,71746000.00,2022-04-14
001A000072,Evoware Inc.,evoware.co,E-commerce & Retail,57,Commercial,Canada,North America,10224000.00,2023-04-06
001A000073,Miraflow Ltd,miraflow.net,Professional Services,19,Commercial,United Kingdom,EMEA - UK&I,4245000.00,2022-09-23
001A000074,Oriopoint GmbH,oriopoint.co,Software & SaaS,2379,Enterprise,Germany,EMEA - DACH,742717000.00,2022-04-02
001A000075,Evopath Ltd,evopath.net,software,98,Commercial,United Kingdom,EMEA - UK&I,16569000.00,2022-02-10
001A000076,Lyrafield Ltd,lyrafield.com,Professional Services,870,Mid-Market,Ireland,EMEA - UK&I,256533000.00,2023-07-25
001A000077,Evopoint LLC,evopoint.io,Software & SaaS,399,Mid-Market,United States,North America,17292000.00,2022-08-02
001A000078,Norddata Sp. z o.o.,norddata.io,Energy & Utilities,46,Commercial,Poland,EMEA - North,5191000.00,2022-06-15
001A000079,Valisys Digital LLC,valisys.io,E-Commerce,47,Commercial,United States,North America,4188000.00,2022-08-09
001A000080,Stranet Holding Corp.,stranet.io,Software & SaaS,938,Mid-Market,United States,North America,377226000.00,2022-02-12
001A000081,Astertech S.A.,astertech.eu,Education,962,Mid-Market,Spain,EMEA - South,242500000.00,2023-02-12
001A000082,Granmark Solutions LLC,granmark.net,Professional Services,7,Commercial,United States,North America,585000.00,2023-03-28
001A000083,Pirafield GmbH,pirafield.io,Logistics & Transport,235,Commercial,Switzerland,EMEA - DACH,22572000.00,2023-03-21
001A000084,Nexalogic Group SE,nexalogic.io,Manufacturing,84,Commercial,Germany,EMEA - DACH,6364000.00,2023-10-02
001A000085,Granmark GmbH,granmark.net,E-Commerce,22,Commercial,Germany,EMEA - DACH,4618000.00,2023-11-24
001A000086,Wendpoint LLC,wendpoint.de,Professional Services,151,Commercial,United States,North America,29255000.00,2022-07-14
001A000087,Deltagrid Group S.r.l.,deltagrid.eu,Ecommerce,14,Commercial,Italy,EMEA - South,1874000.00,2021-07-18
001A000088,Sellapath GmbH,sellapath.io,Healthcare & Life Sciences,50,Commercial,Austria,EMEA - DACH,5096000.00,2023-09-05
001A000089,Bramsys Partners Oy,bramsys.net,Finance,31,Commercial,Finland,EMEA - North,5247000.00,2023-05-20
001A000090,Umbraworks GmbH,umbraworks.de,Ecommerce,48,Commercial,Austria,EMEA - DACH,38846000.00,2023-12-30
001A000091,Stralabs Solutions Corp.,stralabs.net,Software & SaaS,91,Commercial,United States,North America,12464000.00,2023-05-27
001A000092,Fjelware S.r.l.,fjelware.com,Media & Marketing,23,Commercial,Italy,EMEA - South,7877000.00,2023-09-06
001A000093,Solvline B.V.,solvline.co,E-commerce & Retail,1142,Mid-Market,Netherlands,EMEA - North,164507000.00,2021-07-19
001A000094,Valiware Ltd,valiware.eu,Energy & Utilities,216,Commercial,Ireland,EMEA - UK&I,66585000.00,2023-05-07
001A000095,Solvbridge Corp.,solvbridge.com,Fintech,1608,Mid-Market,United States,North America,397844000.00,2021-09-14
001A000096,Nordline Group SAS,nordline.net,Manufacturing,80,Commercial,France,EMEA - South,13512000.00,2022-05-02
001A000097,Yaradata SE,yaradata.eu,Finance,44,Commercial,Germany,EMEA - DACH,11120000.00,2023-03-30
001A000098,Piralabs AG,piralabs.de,Professional Services,1521,Mid-Market,Germany,EMEA - DACH,537670000.00,2023-03-08
001A000099,Veralogic Pty Ltd,veralogic.net,Logistics & Transport,43,Commercial,Australia,APAC,7711000.00,2023-10-09
001A000100,Vexfield Pvt Ltd,vexfield.net,Manufacturing,77,Commercial,India,APAC,11894000.00,2021-09-27
001A000101,Deltapoint Digital LLC,deltapoint.io,Retail,306,Mid-Market,United States,North America,78536000.00,2022-01-09
001A000102,Opaltech plc,opaltech.com,Media & Marketing,17,Commercial,United Kingdom,EMEA - UK&I,7788000.00,2022-03-04
001A000103,Lyraworks Partners Pty Ltd,lyraworks.io,Software & SaaS,302,Mid-Market,Australia,APAC,22577000.00,2023-12-13
001A000104,Evovik Corp.,evovik.de,Professional Services,248,Commercial,United States,North America,19962000.00,2021-07-27
001A000105,Xenobridge LLC,xenobridge.eu,Media & Marketing,714,Mid-Market,United States,North America,287276000.00,2023-05-23
001A000106,Umbrafield Digital S.p.A.,umbrafield.io,Financial Services,397,Mid-Market,Italy,EMEA - South,49395000.00,2022-05-13
001A000107,Zephpath plc,zephpath.io,Agency,748,Mid-Market,United Kingdom,EMEA - UK&I,271756000.00,2022-08-03
001A000108,Kestgrid GmbH,kestgrid.de,Media & Marketing,86,Commercial,Germany,EMEA - DACH,9883000.00,2023-12-13
001A000109,Ternpoint Pvt Ltd,ternpoint.co,Software & SaaS,28,Commercial,India,APAC,3639000.00,2023-01-11
001A000110,Astervik S.p.A.,astervik.de,E-commerce & Retail,2621,Enterprise,Italy,EMEA - South,842201000.00,2023-08-21
001A000111,Zephsys plc,zephsys.de,E-Commerce,11,Commercial,United Kingdom,EMEA - UK&I,2941000.00,2023-07-31
001A000112,Valibridge SAS,valibridge.eu,,13,Commercial,France,EMEA - South,1133000.00,2023-05-04
001A000113,Xenopath LLC,xenopath.eu,Healthcare & Life Sciences,241,Commercial,United States,North America,59356000.00,2023-12-28
001A000114,Xenovik AG,xenovik.eu,Manufacturing,1237,Mid-Market,Switzerland,EMEA - DACH,142632000.00,2022-04-09
001A000115,Junocore Partners Ltd,junocore.net,Banking,135,Commercial,Canada,North America,30189000.00,2022-03-03
